Question,Answer
How Do I Share or Change the Owner of a Google@UH Drive document?,"If you are the owner of a Google Drive document, you can share the document with other UH users or assign ownership of the document to another UH user.Sharing a Google Drive documentFrom the Drive document list, select the document by placing a checkmark, then click onShare.  Alternatively, after selecting the document by placing a checkmark, you can click onMore, thenShare.In the Sharing Settings window that appears, enter the email address or addresses of the user or users you would wish to share with.Choose the permission level that you wish to apply for the user or users (Edit, Comment, or View).Choose whether to notify the user or users that the document has been shared with them by checking the appropriate checkbox.ClickShare & Save.Changing ownership for a Google Drive documentIf you have not already shared the document with the person you wish to designate as the new owner, follow the steps above to share the document. If the document is already being shared with the person you wish to designate as the new owner, follow steps 2-5 below.From the Drive document list, select the document by placing a checkmark, then click onShare.  Alternatively, after selecting the document by placing a checkmark, you can click onMore, thenShare.In the Sharing Settings window that appears, click on the permission level next to the user you wish to designate as the new owner.SelectIs Owneras the new permission level.Click Save changes.Additional Sharing InformationSharing can be quickly accessed while the document is open by clicking on the blue Share iconin the upper right-hand corner.By default, any individuals you share the document with who are assigned editing privileges can add other individuals and change permissions.  You can change this behavior in the Sharing Settings window by clicking on theChangelink below the Add People area.By default, the document will only be visible with individuals who you've explicitly added.  You can change this behavior in the Sharing Settings window by clicking on theChangelink next to Private.Google provides instructions on changing the owner from within the document or through the Docs list at the following link.https://support.google.com/drive/bin/answer.py?hl=en&answer=2494892&from=92358&rd=1"
Exporting calendars from Google@UH Calendar,You can find instructions on exporting your calendar from the Google@UH Calendar at this web page:http://www.google.com/support/calendar/bin/answer.py?hl=en&answer=37111
How to transfer ownership of a site in Google@UH Sites,"Transfering ownership of a site in Google@UH Sites is a two-step process.The first step is to add a new owner to the existing Google site:http://sites.google.com/support/bin/answer.py?hl=en&answer=97934After adding a new owner, the new owner can login toremovethe previous owner:http://sites.google.com/support/bin/answer.py?hl=en&answer=98190"
Google@UH Drive FAQs,"OverviewGoogle Drive allows you to upload/create files online, giving you the ability to share and access these files anywhere. This document is a compilation of frequently asked questions (FAQ).How Do I Create/Edit a Google@UH Drive document?How Do I Delete a Google@UH Drive document?How Do I Share or Change the Owner of a Google@UH Drive document?How Do I Upload or Download a Document Using Google@UH Drive?Downloading and Installing the Google Drive for Desktop ApplicationGetting Help for Google@UH DriveHow Do I Create/Edit a Google@UH Drive document?To create a new documentIf you are logged in to Google@UH mail (http://gmail.hawaii.edu), click onDrivein the upper left-hand corner.  Otherwise, visithttp://gdocs.hawaii.edudirectly.Click on the redCreatebutton and select the document type (i.e., Document, Presentation, Spreadsheet, Form, Drawing, etc.).For information on editing a Google document consult the following Getting Started GuidesDocumenthttps://support.google.com/drive/bin/answer.py?hl=en&topic=21008&answer=143206&rd=2Spreadsheethttps://support.google.com/drive/bin/answer.py?hl=en&topic=20322&answer=140784&rd=2Presentationhttps://support.google.com/drive/bin/answer.py?hl=en&topic=19431&answer=126127&rd=2How Do I Delete a Google@UH Drive document?Deleting a documentFrom the Drive document list, select the document by placing a checkmark, then click onRemove.  Alternatively, after selecting the document by placing a checkmark, you can click onMore, thenRemove.Select theTrashfolder and click onEmpty trashto permanently delete any docs in yourTrashfolder.Additional ConsiderationsIf you are not the owner of a document, you may still remove the doc from your list, however it will not be shown in the Trash folder.If you are the owner and sharing a document, upon deletion the document will be completely removed from Drive for all collaborators, and they will no longer have access to the document. Before deleting a document, you may want to make someone else its owner so that your collaborators can still access it.For more information on deleting a Google @ UH Drive document please consulthttps://support.google.com/drive/bin/answer.py?hl=en&answer=49114&topic=1361461&ctx=topic.How Do I Share or Change the Owner of a Google@UH Drive document?If you are the owner of a Google Drive document, you can share the document with other UH users or assign ownership of the document to another UH user.Sharing a Google Drive documentFrom the Drive document list, select the document by placing a checkmark, then click onShare.  Alternatively, after selecting the document by placing a checkmark, you can click onMore, thenShare.In the Sharing Settings window that appears, enter the email address or addresses of the user or users you would wish to share with.Choose the permission level that you wish to apply for the user or users (Edit, Comment, or View).Choose whether to notify the user or users that the document has been shared with them by checking the appropriate checkbox.ClickShare & Save.Changing ownership for a Google Drive documentIf you have not already shared the document with the person you wish to designate as the new owner, follow the steps above to share the document. If the document is already being shared with the person you wish to designate as the new owner, follow steps 2-5 below.From the Drive document list, select the document by placing a checkmark, then click onShare.  Alternatively, after selecting the document by placing a checkmark, you can click onMore, thenShare.In the Sharing Settings window that appears, click on the permission level next to the user you wish to designate as the new owner.SelectIs Owneras the new permission level.Click Save changes.Additional Sharing InformationSharing can be quickly accessed while the document is open by clicking on the blue Share iconin the upper right-hand corner.By default, any individuals you share the document with who are assigned editing privileges can add other individuals and change permissions.  You can change this behavior in the Sharing Settings window by clicking on theChangelink below the Add People area.By default, the document will only be visible with individuals who you've explicitly added.  You can change this behavior in the Sharing Settings window by clicking on theChangelink next to Private.Google provides instructions on changing the owner from within the document or through the Docs list at the following link.https://support.google.com/drive/bin/answer.py?hl=en&answer=2494892&from=92358&rd=1How Do I Upload or Download a Document Using Google@UH Drive?Uploading a document or fileYou can upload files to Google@UH Drive to be able to share and edit files online.In Google@UH Drive, click on the redUploadbutton.Select eitherFilesorFolderdepending on whether you would like to upload a single file or an entire folder.Navigate to and select the file or folder you wish to upload.Select the appropriate checkbox if you would like to convert the document to Google's document format(s) and optionally choose the folder and share permissions, then clickStart upload.For more information on uploading files to Google@UH Drive please readhttps://support.google.com/drive/bin/answer.py?hl=en&answer=2424368&from=50092&rd=1Downloading a document or fileFrom the Drive document list, place a checkmark next to the document or documents you wish to download.Click onMore, then selectDownload.For more information on downloading/exporting files from Google Docs please readhttps://support.google.com/drive/bin/answer.py?hl=en&answer=2423534&topic=2375187&ctx=topicData encryptionData uploaded and downloaded from Google Drive are generally encrypted in transit between Google Drive and your web browser using the TLS protocol. Additionally, all files uploaded to Google@UH Drive (except videos) are encrypted while stored on Google's servers. Note, however, that when you provide access to a file or folder in Google Drive to another person, that person has access to the unencrypted data. Therefore, it is critical that you carefully maintain the list of users and groups that your file and folders are shared with in Drive to ensure that unintended audiences can't view or edit your data. Furthermore, the data encryption described here and in use with the Drive service does not imply a sufficient level of security to be used for confidential or personally identifiable information (PII).Downloading and Installing the Google Drive for Desktop ApplicationGoogle Drive for desktop is an installable application that allows you to access Google@UH Drive files from your local computer.Downloading and installing the Google Drive for desktopVisithttps://www.google.com/drive/download/to download the applicationSelect Download Drive for desktopOnce downloaded follow the instructions to complete the installationAdditional information about the Google Drive for desktop applicationBy default, the Google application will start when your computer boots.  No additional action is required to sync new files when you turn on your computer.A Google Drive icon will be placed in your taskbar (Windows) or your menu bar (Macintosh).  Clicking on this icon will display information about the application and allow you to access your files and settings.Getting Help for Google@UH DriveGoogle has very detailed online help articles.  In Google Drive, click onSettingsin the upper right corner of the screen, then selectHelp. Alternatively, you can browse directly tohttps://support.google.com/drive/?hl=en&p=mktg_home.Known issues and recent fixes for Google docs can be found athttps://support.google.com/drive/bin/static.py?hl=en&page=known_issues.cs.You may also contact theITS Help Deskfor support."
Downloading and Installing the Google Drive for Desktop Application,"Google Drive for desktop is an installable application that allows you to access Google@UH Drive files from your local computer.Downloading and installing the Google Drive for desktopVisithttps://www.google.com/drive/download/to download the applicationSelect Download Drive for desktopOnce downloaded follow the instructions to complete the installationAdditional information about the Google Drive for desktop applicationBy default, the Google application will start when your computer boots.  No additional action is required to sync new files when you turn on your computer.A Google Drive icon will be placed in your taskbar (Windows) or your menu bar (Macintosh).  Clicking on this icon will display information about the application and allow you to access your files and settings."
Getting Help for Google@UH Drive,"Google has very detailed online help articles.  In Google Drive, click onSettingsin the upper right corner of the screen, then selectHelp. Alternatively, you can browse directly tohttps://support.google.com/drive/?hl=en&p=mktg_home.Known issues and recent fixes for Google docs can be found athttps://support.google.com/drive/bin/static.py?hl=en&page=known_issues.cs.You may also contact theITS Help Deskfor support."
How Do I Create/Edit a Google@UH Drive document?,"To create a new documentIf you are logged in to Google@UH mail (http://gmail.hawaii.edu), click onDrivein the upper left-hand corner.  Otherwise, visithttp://gdocs.hawaii.edudirectly.Click on the redCreatebutton and select the document type (i.e., Document, Presentation, Spreadsheet, Form, Drawing, etc.).For information on editing a Google document consult the following Getting Started GuidesDocumenthttps://support.google.com/drive/bin/answer.py?hl=en&topic=21008&answer=143206&rd=2Spreadsheethttps://support.google.com/drive/bin/answer.py?hl=en&topic=20322&answer=140784&rd=2Presentationhttps://support.google.com/drive/bin/answer.py?hl=en&topic=19431&answer=126127&rd=2"
How do I get more help for Google@UH Calendar?,"Google has extensive documentation on their calendar here:http://www.google.com/support/calendarIf you need further assistance with Google@UH Calendar, please contact theITS Help Desk."
How Do I Delete a Google@UH Drive document?,"Deleting a documentFrom the Drive document list, select the document by placing a checkmark, then click onRemove.  Alternatively, after selecting the document by placing a checkmark, you can click onMore, thenRemove.Select theTrashfolder and click onEmpty trashto permanently delete any docs in yourTrashfolder.Additional ConsiderationsIf you are not the owner of a document, you may still remove the doc from your list, however it will not be shown in the Trash folder.If you are the owner and sharing a document, upon deletion the document will be completely removed from Drive for all collaborators, and they will no longer have access to the document. Before deleting a document, you may want to make someone else its owner so that your collaborators can still access it.For more information on deleting a Google @ UH Drive document please consulthttps://support.google.com/drive/bin/answer.py?hl=en&answer=49114&topic=1361461&ctx=topic."
Why do some of my messages get grouped together in Google@UH Gmail?,"This article explains how the conversation feature (grouping of messages) works inGoogle@UH Gmail.What are conversations?Gmail groups all replies with their original message to make messages easier to follow. These grouped messages are called conversations.Click herefor more information on conversations. This feature is turned on by default. You can turn this feature off by going toSettings. UnderGeneral, look for theConversation Viewsetting and selectConversation view off.Can I delete just one email out of a conversation?While in the conversation, you can click on the drop down arrow on the far right of the message that you wish to delete and selectDelete this message."
Deleting Messages in Google@UH Gmail,"Where do deleted messages go?Deleted messages can be found in your Trash label. By default messages that have been left in Trash more than 30 days will be automatically deleted. Click theEmpty trash nowlink to empty your trash and free up space on your email account.I deleted a message, but it is no longer located in my deleted folder. Can I get it back?If you have deleted a message permanently, by clickingDelete Foreverin your Trash, then it is not possible to recover the message.Click hereto read more about recovering deleted messages."
What happened to my email folders?,Gmail doesn’t use a folder system. Instead labels are used to group and organize messages. Labels are more efficient for organizing your email because conversations can have more than one label and they can be searched for by label name.Click herefor more information on labels.
How do I flag a message for follow-up?,"Gmail uses a star system instead of flags. To star a message, click on thestar iconto make the message stand out in your inbox. To view all starred messages click on theStarredlink in the label list."
Why do I have all of these extra contacts?,"By default Gmail adds contacts that are not already in your contact list to yourAll Contactslist when you reply to, forward, or compose a new message."
How Do I Upload or Download a Document Using Google@UH Drive?,"Uploading a document or fileYou can upload files to Google@UH Drive to be able to share and edit files online.In Google@UH Drive, click on the redUploadbutton.Select eitherFilesorFolderdepending on whether you would like to upload a single file or an entire folder.Navigate to and select the file or folder you wish to upload.Select the appropriate checkbox if you would like to convert the document to Google's document format(s) and optionally choose the folder and share permissions, then clickStart upload.For more information on uploading files to Google@UH Drive please readhttps://support.google.com/drive/bin/answer.py?hl=en&answer=2424368&from=50092&rd=1Downloading a document or fileFrom the Drive document list, place a checkmark next to the document or documents you wish to download.Click onMore, then selectDownload.For more information on downloading/exporting files from Google Docs please readhttps://support.google.com/drive/bin/answer.py?hl=en&answer=2423534&topic=2375187&ctx=topicData encryptionData uploaded and downloaded from Google Drive are generally encrypted in transit between Google Drive and your web browser using the TLS protocol. Additionally, all files uploaded to Google@UH Drive (except videos) are encrypted while stored on Google's servers. Note, however, that when you provide access to a file or folder in Google Drive to another person, that person has access to the unencrypted data. Therefore, it is critical that you carefully maintain the list of users and groups that your file and folders are shared with in Drive to ensure that unintended audiences can't view or edit your data. Furthermore, the data encryption described here and in use with the Drive service does not imply a sufficient level of security to be used for confidential or personally identifiable information (PII)."
What are the sending limits for Gmail?,"To prevent spam and email abuse, Google has implemented a 2,000 message per day sending limit on all accounts. One email message may contain up to 500 recipients.Click hereto learn more about Gmail sending limits.The maximum message size for messages in Google cannot be greater than 25MB. However, you may experience issues if the recipients email service utilizes a smaller message size limit. To send large attatchments, we recommend that you send them utilizing theUH File Drop Service.Google also restricts the file types that may be sent through their services. These file types are not limited to but include, "".bat"", "".cmd"", "".com"", "".exe"", and "".sys"".Click herefor a full listing of blocked file types."
Which web browsers are supported for Google@UH Gmail?,"Web browsers supported by Google includes, but is not limited to:FireFox 2.0 and higherInternet Explorer 6.0 and higherSafari 3.0 and higherOther supported browsersPlease note that even though Google's browser support is extensive, ITS can only officially support the browsers listedhere.If you experience problems viewing Gmail in your browser please try HTML view. HTML view is optimal for older unsupported browsers. HTML view is missing key features of Gmail like chat, spell checker, and colored labels. To turn on HTML view, click on the link that saysbasic HTMLat the bottom of screen while you are logged into Gmail.Click hereto learn more about HTML view."
How do I send a read/delivered receipt with a message?,"Currently, read/delivered receipts are not supported by Gmail."
How do I sort my email in Gmail?,"Currently, sorting by date/subject/from/to/etc. is not supported in Gmail."
How do I setup email forwarding in Google@UH Gmail?,"To forward your incomingGoogle@UHemail:Login toGoogle@UHClick on theGear iconlocated on the upper right-hand corner.SelectMail settings.Click on theForwarding and POP/IMAPtabClick theAdd a forwarding addressbuttonType the email address you wish to forward to and clickNext.Click theProceedbutton after verifying that the address you typed is correct.Select the radio button toForward a copy of incoming mail toand select the correct email address from the drop down.Optionally you can set forwarding options. By defaultkeep Gmail's copy in the Inboxis selected.ClickSave Changes.For additional information on email forwarding in Gmail,click here."
How do I change my email display name in Google@UH Gmail?,"Click onSettings, and then clickAccounts. Next, click onEdit Infonext to your current display name and email address. In the pop-up window select the radio button next to the text box and add your desired display name. ClickSave Changeswhen finished."
What is Offline mode in Google@UH Gmail?,Offline mode allows users to access their email with no or limited internet access. Any changes you make to your account or emails you send will take effect once you have a good and stable internet connection. In this mode you will not receive any messages. Turning this feature on requires the installation of Gears for Google.Click hereto learn more about Offline mode.
Google Calendar access not working with UH email address.,"If you're seeing an ""Oops. A calendar already exists for [your email address]"" error, it means that your email address is currently associated with a Google Apps Account as well as a regular Google Account.After you log into your account, you will need to selectChange your Google Account email address.  The page will display the current email address, and give you the option to change the email address.  You must change this address to one which does not end with @hawaii.edu"
How do I Improve IMAP Performance for Google@UH?,Improve IMAP performance by disabling the All Mail folder for IMAP download. Please make sure your email client is closed before you begin this process.Login toGoogle@UHemail account with your UH Username and Password.Click onSettings.Click on theLabelstab.Find theAll Maillabel and make sureShow in IMAPis unchecked.You may now open your email client. You should no longer see the All Mail folder listed.For Google's recommended IMAP settingsclick here. These settings will also help optimize IMAP client performance.
How Do I Create a Google@UH Site?,"To create a new siteIf you are in Gmail, click on ""Sites"" in the upper left hand corner or go tohttp://sites.google.com/a/hawaii.edu/Click on ""Create site""Name your Site, choose a theme, and manage any additional options prior to selectingCreate site."
How do I improve the performance of Microsoft Outlook with Google@UH Gmail?,"Google Workspace Sync for Microsoft Outlook syncs all your Google@UH email, calendar events, and contacts between your Google@UH account and your profile in Outlook, so you can access the same information at any time from either interface. It also vastly improves the performance of email if using Microsoft Outlook as your email client.System Requirements:Windows 10 or laterMicrosoft Outlook 2010® (32 and 64 bit), Microsoft Outlook 2013® (32 and 64 bit), Microsoft Outlook 2016® (32 and 64 bit), Microsoft Outlook 2019® (32 and 64 bit)To download G Suite Sync for Microsoft Outlook,click here.For more information on G Suite Sync for Microsoft Outlook,click here."
Getting Help for Google@UH Sites,"Google has very good online help articles.  In Google Sites, click on the Help button in the upper right corner of the screen, then click on the topic in which you have interest.  You can browse directly tohttp://www.google.com/support/sites/You may also contact theITS Help Desk"
Google@UH Sites FAQs,"This document is a general introduction to Google @ UH Sites, and will cover commonly used features.  For detailed information, refer to Google's Sites help center.  Much of the information in the following articles was paraphrased from Google's support documentation.How Do I Create a Google@UH Site?How to transfer ownership of a site in Google@UH SitesGetting Help for Google@UH SitesHow Do I Create a Google@UH Site?To create a new siteIf you are in Gmail, click on ""Sites"" in the upper left hand corner or go tohttp://sites.google.com/a/hawaii.edu/Click on ""Create site""Name your Site, choose a theme, and manage any additional options prior to selectingCreate site.How to transfer ownership of a site in Google@UH SitesTransfering ownership of a site in Google@UH Sites is a two-step process.The first step is to add a new owner to the existing Google site:http://sites.google.com/support/bin/answer.py?hl=en&answer=97934After adding a new owner, the new owner can login toremovethe previous owner:http://sites.google.com/support/bin/answer.py?hl=en&answer=98190Getting Help for Google@UH SitesGoogle has very good online help articles.  In Google Sites, click on the Help button in the upper right corner of the screen, then click on the topic in which you have interest.  You can browse directly tohttp://www.google.com/support/sites/You may also contact theITS Help Desk"
How Do I Prevent Emails From Being Incorrectly Marked as Spam When Using Google@UH Gmail?,"Creating a filter for a particular sender/subject/etcLog in to Google@UH Gmail athttp://gmail.hawaii.eduClick on 'Create a filter' (or within a message select 'More actions', then 'Filter messages like these')Enter the criteria for your filter then click 'Next Step'.Select the checkbox 'Never send it to Spam' and click on 'Create Filter'. You may also select the checkbox 'Also apply filter to the xx conversations below', which will apply the filter to existing messages.Creating a filter to prevent any messages from going to SpamWarning: All messages which would have been labeled as Spam will be delivered into the Inbox.Log in to Google@UH Gmail athttp://gmail.hawaii.eduClick on 'Create a filter' (or within a message select 'More actions', then 'Filter messages like these')In the 'Has the words:' field, enter ""is:spam"" (without quotes), then click 'Next Step'.You should see a prompt ""Warning: Filter searches containing ""label:"", ""in:"", ""is:"" criteria are not recommended"". Click on 'OK'Select the checkbox 'Never send it to Spam' and click on 'Create Filter'. You may also select the checkbox 'Also apply filter to the xx conversations below', which will apply the filter to existing messages."
Moving Mail to hard drive - Mac Mail,"Setup Mac Mail for IMAPTo launch Mac Mail, double click on yourhard drive, then double click on theApplicationsfolder, then double click on theMailicon.If this is not the first time you are setting up Mac Mail, go to the ""Mail"" menu and selectPreferences.  Click on theAccountsicon, then click on the+button.If this is the first time you are setting up Mac Mail, you will see a ""Welcome to Mail"" screen.Fill in the boxes as follows:Full Name:your nameEmail address:your hawaii.edu email address(for example, jsmith@hawaii.edu)Password:do not enter thisClickContinue[Mac OS 10.6] You will be told that login to Exchange has failed.  Ignore this and clickContinue.Fill in the next screen as follows:Account type: selectIMAPDescription:your hawaii.edu email address(for example, jsmith@hawaii.edu)Incoming Mail Server:imap.gmail.comUser Name:<username@hawaii.edu>Password:do not enter thisClickContinueYou will get an error message that login has failed.  This is OK.  ClickContinue.Make sure the box for ""Use Secure Sockets Layer (SSL)"" is checked.  Authentication should be set to Password.  ClickContinue.Fill in this screen as follows:Description:Google@UHOutgoing Mail Server:smtp.gmail.comCheck the box for Use AuthenticationIn the User Name box, type <username@hawaii.edu>In the Password box, type your passwordClickContinue.At the ""Account Summary"" window, you should see that SSL for the incoming and outgoing servers is set to ""on"".  Check the box for ""Take account online"", then clickCreateYou will be prompted for your password.  Type your password and clickOK.If you are asked if you want to see what's new in Mac Mail, clickDon't Show.Mac Mail should now connect to the UH mail server, and display your messages and folders in the Mac Mail Main window. This may take some time depending on how many messages you have in your Inbox.Creating folders on your hard driveMac Mail has three ""panes"".  The list of folders you have on the server will display in the left side pane.  Your Inbox index of messages will appear on the top right side.  If you click on a message, its contents will be displayed in the lower right side pane.The first step in moving your mail to your hard drive is to create local mail folders that have the same name as your folders on the mail server.Go to the ""Mailbox"" menu and selectNew MailboxMake sure the ""Location"" is set to ""On My Mac""In the ""Name"" box, typeUH Email Backup.  ClickOK.On the left side,  click on the ""UH Email Backup"" folder.  Go to the ""Mailbox"" menu and selectNew Mailbox.Make sure the ""Location"" is set to ""UH Email Backup"".In the ""Name"" box, typeInbox.  ClickOK.Repeat steps 4 - 6 and create folders for all the different folders you have on the server.  (E.g. Drafts, Sent, Trash, and whatever else is listed on the left-hand side under ""Mailboxes"" and your hawaii.edu email address.)When you are done, if necessary, click on the triangle next to ""UH Email Backup"" to expand and show what's stored inside.  Your Mac Mail window should look similar to below, except with your information:Moving mail to your hard driveYou should probably try the following steps on a small amount of messages first,  Be sure you are comfortable with this process before attempting to move a critical folder such as Sent or Inbox.You first have to select the folder you wish to move.  In our example,  we will move the folder, ""work"".  On the left side of the screen, click on the  folder ""work"" that's listed under the ""username@hawaii.edu"" section  (do not select the one under ""UH Email Backup"").Go to the ""Edit"" menu, then selectSelect All.  All the messages in the ""work"" folder should be selected.  Note: if you have a large amount of messages in a folder, do not use Select All.  Select a smaller chunk of messages by clicking on the first message you want to move, then hold down theshiftkey and click on the last message you want to move.Go to the ""Message"" menu--> selectMove To--> then select the ""work"" folder that's located under the ""UH Email Backup"" section under the ""On My Mac"" section (this is important!)The messages will be moved to the ""work"" folder.  Depending on how many messages you had selected, this could take some time.On the left side, select the ""work"" folder under the UH Email Backup section and verify the messages are there.Repeat steps 1 - 5 for each of your folders.When you feel you have moved all your messages, you should login to Google@UH Gmail athttp://gmail.hawaii.edu.  At the bottom of any Google@UH Gmail page, there will be a quota indicator."
Moving email to local storage - Thunderbird,"This article describes how to move your email from the Google server to your computer's local storage using the Thunderbird email program. You may want to do this from time to time to archive old email, or if you are nearing your email quota.Setup Thunderbird for IMAPIf you haven't already, you first need to setup Thunderbird to connect to your hawaii.edu account via IMAP.  Please follow the directions in the askus articles below for either Mac or Windows:Google@UH Gmail Thunderbird (Mac) SetupGoogle@UH Gmail Thunderbird (Windows) SetupCreating local folders in ThunderbirdThunderbird has three ""panes"".  The list of folders you have on the server will display in the left side pane.  Your Inbox index of messages will appear on the top right side.  If you click on a message, its contents will be displayed in the lower right side pane.The first step in moving your email to your hard drive is to create local email folders.In the list of folders on the left side pane, right-click on ""Local Folders"" and selectNewFolderThe ""Create as a subfolder of"" should already be set to ""Local Folders""In the ""Name"" box, typeUH Email Archive, or some other descriptive name of your choice.  ClickCreate Folder.If necessary, click on the arrow next to Local Folders to expand it and display your newly created folder.Right-click onUH Email Archive(or whatever you named the folder in step 3) and selectNew Subfolder...Make sure the ""Create as a subfolder of"" is set toUH Email Archive(or whatever you named the folder in step 3).In the ""Name"" box, typeInbox.  ClickCreate Folder.Repeat steps 5 - 7 and create folders for all the different folders that you wish to copy off of the server (e.g. Drafts, Sent, Trash, etc.).When you are done, if necessary, click on the arrow next to UH Email Archive to expand and show what's stored inside.  Your Local Folders should look similar to below, except with your information:Moving email to your local foldersYou should try the following steps on a small amount of messages first.  Be sure you are comfortable with this process before attempting to move a large amount of email or email from a critical folder such as Sent or Inbox. If you are also logged into your Google@UH Gmail in a web browser, it is recommended that you log out of the browser before beginning the steps below.You first have to select the folder that contains the messages you want to move.  In this example, we will archive messages from the ""meetings"" folder.  On the left side of the screen, click on the folder ""meetings"" that's listed under the ""username@hawaii.edu"" section (do not select the one under ""UH Email Archive"").Select the messages you wish to archive. Use Shift+Click to select a number of messages in a row. Use Ctrl+Click to select multiple individual messages spaced apart. Use Ctrl+A (or Option+A on Mac) to select all messages in a folder. Note, selecting all messages in a folder with a large amount of email may result in slow performance.Right-click one of the selected messages and selectMove To>Local Folders>UH Email Archive> and finally themeetingsfolder. ""Move To"" will move messages from one folder to another, while leaving an archived copy on the server. Select ""Copy To"" instead to make a local copy while leaving the message on the server in its original location. Note, selecting ""Copy To"" or ""Move To"" will not reduce your storage quota usage unless you later delete the messages from the server (in other words, delete the messages from your Google@UH Gmail or from Thunderbird under the ""username@hawaii.edu"" section).The highlighted messages will be moved to the meetings folder.  Depending on how many messages you selected to move, this could take some time.On the left side, select themeetingsfolder under the UH Email Archive section and verify the messages are there.  If you used ""Copy To"",Once you have verified that the messages were successfully moved, you may delete them from the server (in other words, delete the messages from your Google@UH Gmail or from Thunderbird under the ""username@hawaii.edu"" section).Repeat steps 1 - 5 for each of the folders that you wish to move off of the server.Backing up your archived emailNow that you have an archive of emails stored on your local storage, you may want to make a backup to store on an external hard drive, thumb drive, other external media, or a cloud storage account.Right-click on theLocal Foldersfolder in Thunderbird.SelectSettings.Next to the Local Directory, selectBrowse...Copy the entire ""Local Folders"" folder to your external storage media (right click on the folder and selectCopy, Right click in your media and selectPaste). You may need to exit Thunderbird for the copy operation to complete. Be sure you are onlycopyingthe ""Local Folders"" folder and are not moving it. Moving the folder will result in you being unable to view the archived emails in Thunderbird.Restoring a backed up archiveShould you need to restore archived emails that you had previously backed up, you will need to take the archive backup you have stored on your external hard drive, thumb drive, other external media, or cloud storage account, and copy it back to your local storage.Right-click on theLocal Foldersfolder in Thunderbird.SelectSettings.Next to the path shown at Local Directory, selectBrowse...Find the ""Local Folders"" backup that you stored previously and copy it to the directory shown in step 3 above. You may want to rename the folder in order to better distinguish between the items you are restoring and the items that may already exist in your Thunderbird's Local Folders.Restart Thunderbird and click on the arrow next toLocal Foldersto expand the folder and show your restored email."
Why don't I receive a copy of my own message when sending to a LISTSERV list?,"Gmail recognizes that the incoming message is identical to the copy in your Sent Items and does not duplicate it to your inbox.Google's recommendation is that you cc yourself when sending messages to a mailing list from your Google@UH Gmail account. Since you are unable to receive copies of your own messages, another available option is to enable the ACK setting, which is an acknowledgement email from LISTSERV that your message was sent to X number of recipients. In addition, if your list has archives enabled, you can see if your message was posted to the list by checking the archives..To change your current ACK settings, you may do the following:A. Enable ACK in your subscription optionsUnderSubscriber Optionsin the navigation pane on the left, selectSubscriptions.Click on the name of the list you want to enable acknowledgements for.Click on the menu button along the right-side of the page (it should look like three horizontal lines stacked together). Then, click onSubscribe or Unsubscribe.In theAcknowledgementssection, selectShort Message Confirming Receipt. Then, click onUpdate Settings.B. Enable ACK as default for new subscribers (List Owners Only)Under theList Managementoptions in the navigation pane on the left, selectList Configuration.Click on theSubscriptionstab.Select the list that you are modifying from the drop-down menu. Then, scroll down toDefault-Options.Add the keywordACKto the text field. If there are already other keywords listed asDefault-Options, simply add a comma followed by the keywordACKto the end. Then, click onUpdate.C. Enable ACK for existing subscribers (List Owners Only)Under theList Managementoptions in the navigation pane on the left, selectSubscriber Reports.Select the list that you are modifying from the drop-down menu.Click onCustomize Reportand checkAcknowledgements. Then, click onUpdate.Use the check boxes on the left to select specific subscribers (or click onCheck Allto select all subscribers) and, using the drop-down menu at the bottom of theAcknowledgementscolumn, selectAck. Then, clickUpdate."
UH Computer Anti-Virus and Threat Prevention Information,"University of Hawaii (UH) Information Technology Services (ITS) provides software, services, and technical support to protect the UH community against computer viruses and security threats:Anti-virus software provided for UH faculty, staff and studentsVirus and security alert email notificationSecurity and phishing alerts posted on ITS websiteDocuments on anti-virus softwareTechnical support via the Help DeskMcAfee Anti-virus Software at UHActive UH faculty, staff, and students may install McAfee anti-virus softwarefree of chargevia the ITS site license agreement.Anti-virus for WindowsAnti-virus for Mac OSUH Virus, Security and Phishing Alert Email Notification[uhvirus-alert]: ITS maintains email notification for virus/malware and security threat alerts for the UH community.UHvirus-alert Listserv: How to Subscribe/Unsubscribe[phishing]: ITS maintains email notification of phishing attempts targeting UH usernamesSign up forphishing-alert listservUH Phishing and Security AlertsSecurity AlertsHow ToHow to Install and UpdateMcAfee Endpoint Security 10.7Securing Your DesktopGetting Your PC Unblocked on the UH NetworkResourcesMcAfee Knowledge CenterGetting Started with McAfee Endpoint Security 10.7Information Security at UHLast reviewed: December 14, 2020"
